message_id,logid,symbol,meaning,type,category,severity,wazuh_rule_id,source_url
22100,0100022100,LOG_ID_QUAR_DROP_TRAN_JOB,Files dropped by quarantine daemon,Event,system,Warning,118493,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22100/22100-log-id-quar-drop-tran-job
22101,0100022101,LOG_ID_QUAR_DROP_TLL_JOB,Files dropped due to poor network connection,Event,system,Warning,118494,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22101/22101-log-id-quar-drop-tll-job
22102,0100022102,LOG_ID_LOG_DISK_FAILURE,Log disk failure imminent,Event,system,Critical,118495,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22102/22102-log-id-log-disk-failure
22103,0100022103,LOG_ID_QUAR_LIMIT_REACHED,Sandbox limit reached,Event,system,Warning,118496,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22103/22103-log-id-quar-limit-reached
22105,0100022105,LOG_ID_POWER_FAILURE,Power supply failed,Event,system,Critical,118497,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22105/22105-log-id-power-failure
22106,0100022106,LOG_ID_POWER_OPTIONAL_NOT_DETECTED,Optional power supply not detected,Event,system,Information,118498,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22106/22106-log-id-power-optional-not-detected
22107,0100022107,LOG_ID_VOLT_ANOM,Voltage anomaly,Event,system,Warning,118499,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22107/22107-log-id-volt-anom
22108,0100022108,LOG_ID_FAN_ANOM,Fan anomaly,Event,system,Warning,118500,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22108/22108-log-id-fan-anom
22109,0100022109,LOG_ID_TEMP_TOO_HIGH,Temperature too high,Event,system,Warning,118501,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22109/22109-log-id-temp-too-high
22110,0100022110,LOG_ID_SPARE_BLOCK_LOW,Spare blocks availability low,Event,system,Critical,118502,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22110/22110-log-id-spare-block-low
22111,0100022111,LOG_ID_PSU_ACTION_FPC_DOWN,FPC down due to PSU action,Event,system,Error,118503,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22111/22111-log-id-psu-action-fpc-down
22112,0100022112,LOG_ID_PSU_ACTION_FPC_UP,FPC up due to PSU action,Event,system,Information,118504,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22112/22112-log-id-psu-action-fpc-up
22113,0100022113,LOG_ID_FNBAM_FAILURE,Authentication error,Event,system,Warning,118505,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22113/22113-log-id-fnbam-failure
22114,0100022114,LOG_ID_POWER_FAILURE_WARNING,Power supply failed warning,Event,system,Warning,118506,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22114/22114-log-id-power-failure-warning
22115,0100022115,LOG_ID_POWER_RESTORE_NOTIF,Power supply restored notification,Event,system,Notice,118507,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22115/22115-log-id-power-restore-notif
22116,0100022116,LOG_ID_POWER_REDUNDANCY_DEGRADE,Power Supply Redundancy Degrade,Event,system,Warning,118508,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22116/22116-log-id-power-redundancy-degrade
22117,0100022117,LOG_ID_POWER_REDUNDANCY_FAILURE,Power Supply Redundancy Lost,Event,system,Critical,118509,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22117/22117-log-id-power-redundancy-failure
22118,0100022118,LOG_ID_HW_MONITOR_EMERGENCY,IPMC monitor emergency,Event,system,Emergency,118510,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22118/22118-log-id-hw-monitor-emergency
22119,0100022119,LOG_ID_HW_MONITOR_WARNING,IPMC monitor warning,Event,system,Warning,118511,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22119/22119-log-id-hw-monitor-warning
22120,0100022120,LOG_ID_HW_MONITOR_NOTIF,IPMC monitor notification,Event,system,Notice,118512,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22120/22120-log-id-hw-monitor-notif
22150,0100022150,LOG_ID_VOLT_NOM,Voltage normal,Event,system,Notice,118513,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22150/22150-log-id-volt-nom
22151,0100022151,LOG_ID_FAN_NOM,Fan normal,Event,system,Notice,118514,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22151/22151-log-id-fan-nom
22152,0100022152,LOG_ID_TEMP_TOO_LOW,Temperature too low,Event,system,Warning,118515,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22152/22152-log-id-temp-too-low
22153,0100022153,LOG_ID_TEMP_NORM,Temperature normal,Event,system,Notice,118516,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22153/22153-log-id-temp-norm
22200,0100022200,LOG_ID_AUTO_UPT_CERT,Certificate will be auto-updated,Event,system,Warning,118517,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22200/22200-log-id-auto-upt-cert
22201,0100022201,LOG_ID_AUTO_GEN_CERT,Certificate will be auto-regenerated,Event,system,Warning,118518,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22201/22201-log-id-auto-gen-cert
22203,0100022203,LOG_ID_AUTO_GEN_CERT_FAIL,Certificate failed to auto-generate,Event,system,Error,118519,https://docs.fortinet.com/document/fortigate/8.0.0/fortios-log-message-reference/22203/22203-log-id-auto-gen-cert-fail
